filename,mmol/g_working_capacity,selectivity
DB5-hypotheticalMOF_5071179_0_0_2_19_9_8,0.471885,7.04227
DB0-m3_o8_o22_f0_pcu.sym.37,0.321241,6.889025
DB7-ddmof_21160,0.388785,16.97487
DB7-ddmof_21747,0.271416,8.868165
DB13-hxg-Syn036418,1.249112,73.30138
DB12-CDLGLU10_clean,0.341503,39.005765
DB0-m3_o48_o14_f0_fsc.sym.28,1.72674,238.57444
DB0-m3_o8_o21_f0_pcu.sym.20,0.210083,2.00079
DB0-m3_o24_o96_f0_fsc.sym.4,1.138765,37.17459
DB0-m3_o24_o44_f0_fsc.sym.8,1.444115,140.90755
DB12-FAVGER_freeONLY,1.042103,121.85897
DB0-m3_o24_o450_f0_fsc.sym.14,0.846892,44.220795
DB0-m3_o11_o22_f0_pcu.sym.31,0.680516,30.414215
DB0-m2_o33_o22_jea,0.167562,1.0791
DB5-hypotheticalMOF_5045228_0_0_1_3_3_7,0.678732,28.781495
DB0-m3_o1_o15_f0_nbo.sym.20,0.253842,6.897885
DB12-MOYMET_freeONLY,0.654124,61.796945
DB0-m3_o540_o22_f0_fsc.sym.8,1.661693,69.295315
DB12-EMUBOF_clean,0.769997,49.110525
DB13-dia-Syn039541,0.366644,4.010305
DB0-m3_o24_o43_f0_fsc.sym.5,0.880301,34.227245
DB0-m3_o12_o28_f0_pcu.sym.82,0.407983,10.016185
DB12-RAKPEZ_clean,0.191077,191.44315
DB0-m2_o12_o28_f0_pcu.sym.16,0.653616,21.38924
DB0-m1_o9_o20_f0_pcu,0.134204,2.175745
DB13-cds-Syn036354,0.176271,1.25691
DB0-m2_o22_o24_f0_pcu.sym.10,1.882985,150.239085
DB12-ja512437u_si_003_freeONLY,2.060543,180.1128
DB7-ddmof_22242,0.151937,2.136735
DB0-m3_o11_o20_f0_pcu.sym.62,0.307479,4.635285
DB15-sxc_N65_E27_opt,3.368752,39.564535
DB0-m3_o32_o29_xbe,0.36076,1.172455
DB12-ZUSBOG_clean,2.379183,147.19639
DB0-m2_o12_o20_f0_pcu.sym.57,0.087448,2.51449
DB0-m3_o3_o15_f0_pcu.sym.17,0.235664,6.23559
DB15-pcu_N47_E174_opt,0.601229,8.96024
DB5-hypotheticalMOF_5074552_0_0_2_23_11_8,0.493444,5.40415
DB12-DAPBIH_neutral,0.534908,29.818275
DB5-hypotheticalMOF_5018889_3_0_0_19_18_9,0.138331,1.405465
DB0-m3_o10_o23_f0_pcu.sym.63,1.283954,55.122225
DB12-TURDOB_clean,2.74803,143.697485
DB0-m9_o26_o26_sra_0.125_COMe,0.715674,21.391585
DB0-m3_o113_o22_f0_fsc.sym.35,0.844153,315.14056
DB0-m3_o11_o28_f0_pcu.sym.23,0.340759,6.72687
DB5-hypotheticalMOF_24443_0_0_1_5_9_7,5.785946,225.072265
DB5-hypotheticalMOF_5063191_0_0_2_18_22_6,0.363784,2.88178
DB12-OQOJUB_freeONLY,1.974988,261.121335
DB12-NEDWIE_clean,1.340934,48.134325
DB0-m3_o4_o8_f0_pcu.sym.101,0.927887,35.275235
DB5-hypotheticalMOF_31188_1_0_2_10_9_4,0.483446,13.25403
DB0-m3_o145_o22_f0_fsc.sym.5,2.986698,154.711985
DB0-m3_o17_o114_f0_fsc.sym.53,3.8793,193.270855
DB0-m3_o24_o1480_f0_fsc.sym.6,1.874965,104.27478
DB12-SUNJIV_clean,1.545894,191.2511
DB7-ddmof_22425,0.202564,5.12449
DB0-m3_o153_o22_f0_fsc.sym.64,2.274991,137.064905
DB0-m3_o50_o14_f0_fsc.sym.4,2.070958,208.53786
DB0-m3_o11_o23_f0_pcu.sym.8,0.277381,5.599825
DB0-m2_o24_o29_f0_pcu.sym.7,0.730323,13.82104
DB0-m2_o12_o28_f0_pcu.sym.56,1.047766,38.46863
DB0-m3_o24_o1490_f0_fsc.sym.32,1.771526,101.070145
DB5-hypotheticalMOF_5069987_0_0_2_3_1_5,0.128529,4.459925
DB15-pcu_N37_E119_unopt,0.83422,23.474855
DB5-hypotheticalMOF_5048479_0_0_1_19_8_5,1.27218,60.365415
