,node_id,freq,smi
0,L6,7973,[Zn][O]([Zn])([Zn])[Zn]
1,L4,4702,[Zn][Zn]
2,L20,4580,[Cu][Cu]
3,L23,589,[V]
4,L16,173,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43
