,linker_id,freq,smi
78,L38537,182,[O-]C(=O)C#Cc1cc(N)c(c(c1N)N)C#CC(=O)[O-]
79,L2110,182,[O-]C(=O)c1ccc2c(c1)c1cccc(c1cc2)C(=O)[O-]
80,L38477,180,[O-]C(=O)C=CC=C(C(=O)[O-])N
81,L36680,179,CCOc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-]
82,L27721,179,[CH2]CC
83,L9987,178,FC(=C(C#CC(=O)[O-])F)C#CC(=O)[O-]
84,L494,173,COc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-]
85,L40973,172,N#Cc1cc(ccc1C(=O)[O-])C(=O)[O-]
86,L7138,172,[O-]C(=O)C=CC(=CC(=O)[O-])O
87,L30900,171,[O-]C(=O)[C]=CC=[C]C(=O)[O-]
88,L39783,168,[O-]C(=O)C#Cc1cc(Br)c(c(c1Br)Br)C#CC(=O)[O-]
89,L25087,167,[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])F)F)F
90,L16548,167,NC(=C(C#CC(=O)[O-])N)C#CC(=O)[O-]
91,L24308,165,[O-]C(=O)C#Cc1cc(Cl)c(c(c1Cl)Cl)C#CC(=O)[O-]
92,L18390,164,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
93,L8878,163,[O-]C(=O)C=C(C(=C(C(=O)[O-])F)F)F
94,L15695,163,[O-]C(=O)C#Cc1cc(F)c(cc1F)C#CC(=O)[O-]
95,L49552,162,[O-]C(=O)C=C(C=C(C(=O)[O-])O)O
96,L55716,162,[O-]C(=O)C=CC(=C(C(=O)[O-])C)C
97,L24946,162,N#CC(=C(C(=O)[O-])C#N)C=CC(=O)[O-]
98,L34460,161,OC(=C(C#CC(=O)[O-])O)C#CC(=O)[O-]
99,L13834,161,[O-]C(=O)C=[C]C(=O)[O-]
100,L41833,161,[O-]C(=O)c1ccc2c(c1)c1ccc3c(c1cc2)cc(cc3)C(=O)[O-]
101,L31875,158,[O-]C(=O)C=CC(=CC(=O)[O-])N
102,L32232,157,[O-]C(=O)C#Cc1cc(Cl)c(cc1Cl)C#CC(=O)[O-]
103,L49098,156,N#CC(=CC(=O)[O-])C(=O)[O-]
104,L22116,153,[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-]
105,L19385,152,[O-]C(=O)C(=CC(=O)[O-])CCC
106,L10435,152,[O-]C(=O)C#Cc1ccc(c(c1F)F)C#CC(=O)[O-]
107,L1747,152,[O-]C(=O)C=C(C=C(C(=O)[O-])Br)Br
108,L54326,150,CCc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-]
109,L35090,149,[O-]C(=O)C=CC(=C(C(=O)[O-])O)O
110,L8512,149,CCC(=CC(=O)[O-])C(=O)[O-]
111,L34590,148,[O-]C(=O)C#Cc1cc(O)c(c(c1O)O)C#CC(=O)[O-]
